longitude [°],latitude [°]
12.712879,61.634320
12.712841,61.634309
12.712806,61.634293
12.712750,61.634295
12.712704,61.634299
12.712659,61.634290
12.712639,61.634273
12.712603,61.634261
12.712554,61.634253
12.712521,61.634237
12.712508,61.634217
12.712494,61.634200
12.712471,61.634174
12.712466,61.634155
12.712453,61.634132
12.712421,61.634117
12.712381,61.634115
12.712334,61.634112
12.712289,61.634112
12.712252,61.634108
12.712212,61.634108
12.712175,61.634100
12.712138,61.634093
12.712116,61.634075
12.712070,61.634068
12.712023,61.634059
12.711983,61.634044
12.711952,61.634034
12.711906,61.634025
12.711855,61.634023
12.711815,61.634040
12.711763,61.634050
12.711736,61.634063
12.711702,61.634073
12.711670,61.634087
12.711648,61.634103
12.711629,61.634122
12.711594,61.634142
12.711559,61.634152
12.711513,61.634144
12.711485,61.634127
12.711456,61.634116
12.711451,61.634092
12.711408,61.634086
12.711379,61.634098
12.711374,61.634117
12.711360,61.634135
12.711398,61.634139
12.711438,61.634125
12.711473,61.634134
12.711458,61.634116
12.711425,61.634098
12.711379,61.634091
12.711346,61.634080
12.711322,61.634065
12.711313,61.634044
12.711284,61.634024
12.711263,61.634008
12.711225,61.633997
12.711187,61.633997
12.711147,61.633997
12.711097,61.634003
12.711042,61.634015
12.710987,61.634016
12.710931,61.634023
12.710876,61.634033
12.710821,61.634037
12.710782,61.634046
12.710746,61.634055
12.710707,61.634064
12.710667,61.634072
12.710618,61.634074
12.710616,61.634053
12.710610,61.634033
12.710621,61.634009
12.710597,61.633986
12.710560,61.633969
12.710550,61.633951
12.710545,61.633932
12.710541,61.633912
12.710538,61.633890
12.710542,61.633872
12.710509,61.633862
12.710472,61.633848
12.710442,61.633830
12.710410,61.633818
12.710381,61.633801
12.710346,61.633789
12.710298,61.633780
12.710261,61.633767
12.710235,61.633753
12.710211,61.633737
12.710218,61.633716
12.710207,61.633696
12.710181,61.633683
12.710152,61.633666
12.710133,61.633649
12.710110,61.633631
12.710090,61.633614
12.710067,61.633597
12.710068,61.633579
12.710073,61.633556
12.710074,61.633533
12.710078,61.633515
12.710101,61.633501
12.710120,61.633481
12.710137,61.633464
12.710156,61.633444
12.710192,61.633433
12.710215,61.633418
12.710240,61.633401
12.710263,61.633382
12.710291,61.633358
12.710332,61.633348
12.710347,61.633328
12.710383,61.633313
12.710408,61.633299
12.710422,61.633282
12.710448,61.633267
12.710470,61.633253
12.710497,61.633234
12.710528,61.633221
12.710553,61.633207
12.710570,61.633188
12.710601,61.633174
12.710601,61.633151
12.710607,61.633120
12.710619,61.633103
12.710634,61.633081
12.710641,61.633059
12.710641,61.633039
12.710611,61.633024
12.710588,61.633006
12.710579,61.632985
12.710565,61.632965
12.710564,61.632945
12.710590,61.632920
12.710610,61.632903
12.710625,61.632886
12.710637,61.632869
12.710648,61.632849
12.710661,61.632830
12.710664,61.632807
12.710657,61.632789
12.710653,61.632766
12.710643,61.632744
12.710631,61.632727
12.710632,61.632708
12.710630,61.632679
12.710634,61.632657
12.710639,61.632639
12.710647,61.632613
12.710649,61.632594
12.710655,61.632575
12.710649,61.632556
12.710662,61.632537
12.710654,61.632515
12.710656,61.632494
12.710684,61.632476
12.710705,61.632457
12.710717,61.632433
12.710702,61.632412
12.710709,61.632394
12.710716,61.632375
12.710767,61.632381
12.710811,61.632389
12.710841,61.632411
12.710877,61.632424
12.710899,61.632442
12.710882,61.632458
12.710874,61.632440
12.710879,61.632422
12.710857,61.632396
12.710816,61.632394
12.710776,61.632384
12.710737,61.632374
12.710687,61.632390
12.710666,61.632407
12.710626,61.632420
12.710565,61.632433
12.710515,61.632430
12.710484,61.632445
12.710468,61.632466
12.710421,61.632469
12.710395,61.632486
12.710355,61.632497
12.710316,61.632499
12.710276,61.632500
12.710227,61.632502
12.710189,61.632515
12.710154,61.632524
12.710119,61.632536
12.710091,61.632558
12.710079,61.632579
12.710062,61.632600
12.710046,61.632617
12.710046,61.632640
12.710030,61.632659
12.710007,61.632682
12.709983,61.632696
12.709965,61.632718
12.709940,61.632737
12.709939,61.632757
12.709926,61.632774
12.709905,61.632795
12.709887,61.632813
12.709869,61.632829
12.709836,61.632846
12.709817,61.632862
12.709797,61.632878
12.709784,61.632897
12.709717,61.632889
12.709675,61.632890
12.709636,61.632899
12.709649,61.632919
12.709610,61.632933
12.709578,61.632951
12.709602,61.632969
12.709563,61.632972
12.709521,61.632983
12.709506,61.633002
12.709479,61.633019
12.709483,61.633040
12.709456,61.633058
12.709439,61.633075
12.709427,61.633093
12.709419,61.633113
12.709423,61.633136
12.709431,61.633156
12.709447,61.633178
12.709453,61.633201
12.709484,61.633222
12.709511,61.633245
12.709526,61.633263
12.709554,61.633275
12.709584,61.633287
12.709630,61.633285
12.709680,61.633295
12.709725,61.633286
12.709767,61.633291
12.709809,61.633301
12.709850,61.633319
12.709879,61.633339
12.709892,61.633358
12.709915,61.633378
12.709934,61.633397
12.709949,61.633422
12.709955,61.633442
12.709964,61.633462
12.709976,61.633483
12.709993,61.633504
12.709983,61.633529
12.709975,61.633554
12.709969,61.633573
12.709978,61.633592
12.710018,61.633594
12.710064,61.633605
12.710089,61.633621
12.710117,61.633638
12.710131,61.633655
12.710145,61.633675
12.710176,61.633687
12.710196,61.633706
12.710186,61.633731
12.710222,61.633748
12.710246,61.633767
12.710285,61.633765
12.710312,61.633784
12.710346,61.633792
12.710374,61.633805
12.710406,61.633817
12.710443,61.633827
12.710468,61.633852
12.710442,61.633869
12.710407,61.633889
12.710377,61.633908
12.710352,61.633935
12.710360,61.633958
12.710381,61.633974
12.710401,61.633991
12.710420,61.634010
12.710445,61.634030
12.710486,61.634041
12.710516,61.634065
12.710538,61.634083
12.710530,61.634103
12.710492,61.634116
12.710443,61.634123
12.710408,61.634140
12.710371,61.634149
12.710341,61.634165
12.710321,61.634185
12.710285,61.634214
12.710237,61.634218
12.710187,61.634224
12.710152,61.634234
12.710111,61.634244
12.710063,61.634253
12.710026,61.634261
12.709978,61.634268
12.709942,61.634275
12.709909,61.634287
